关键词,售价_包含均值,售价_不包含均值,售价_t统计量,售价_p值,售价_显著性,销量排名_包含均值,销量排名_不包含均值,销量排名_t统计量,销量排名_p值,销量排名_显著性,售价回归系数,售价影响方向,销量排名回归系数,销量影响方向,售价模型R²,销量模型R²
编程,80.15,76.42,0.691,0.4972,不显著,19.71,24.97,-1.278,0.2107,不显著,-1.655,负向,-2.293,销量提升,0.372,0.144
实践,88.37,74.02,2.763,0.0139,显著,21.09,24.03,-0.556,0.5864,不显著,5.595,正向,-0.955,销量提升,0.372,0.144
深度,88.62,75.87,1.526,0.1792,不显著,20.33,23.76,-0.441,0.6749,不显著,2.236,正向,-2.465,销量提升,0.372,0.144
交易,73.22,78.04,-0.882,0.4198,不显著,33.25,22.3,1.234,0.2965,不显著,4.105,正向,4.515,销量降低,0.372,0.144
量化,69.98,78.58,-1.545,0.1711,不显著,30.6,22.36,1.099,0.3244,不显著,-4.94,负向,-1.41,销量提升,0.372,0.144
算法,89.4,76.43,1.757,0.1585,不显著,28.75,22.75,0.88,0.432,不显著,0.752,正向,1.852,销量降低,0.372,0.144
实战,74.54,78.29,-0.668,0.5174,不显著,25.0,22.92,0.346,0.7371,不显著,-1.536,负向,-1.266,销量提升,0.372,0.144
基于,90.33,75.6,1.773,0.1281,不显著,25.67,22.92,0.36,0.7316,不显著,2.997,正向,2.382,销量降低,0.372,0.144
教学,87.64,76.32,1.475,0.2011,不显著,20.8,23.62,-0.459,0.6648,不显著,4.22,正向,-0.027,销量提升,0.372,0.144
设计,84.4,77.28,1.368,0.3294,不显著,39.0,22.55,2.591,0.1917,不显著,1.417,正向,0.466,销量降低,0.372,0.144
